Disease|Description
panic disorder|Panic disorder is a type of anxiety disorder characterized by sudden, recurrent panic attacks involving intense fear or discomfort. Symptoms include palpitations, sweating, chest pain, dizziness, and a fear of losing control. Treatment includes cognitive behavioral therapy (CBT), selective serotonin reuptake inhibitors (SSRIs), and lifestyle modifications.
vocal cord polyp|A vocal cord polyp is a benign growth on the vocal fold, often due to vocal abuse or irritation. Symptoms include hoarseness, breathy voice, and vocal fatigue. Treatment may involve voice rest, speech therapy, and surgical removal if persistent.
turner syndrome|Turner syndrome is a genetic condition affecting females, characterized by the absence of all or part of one X chromosome. Common features include short stature, delayed puberty, infertility, and heart or kidney abnormalities. Treatment involves growth hormone therapy, estrogen replacement, and regular health monitoring.
cryptorchidism|Cryptorchidism is a condition where one or both testicles fail to descend into the scrotum at birth. It may resolve spontaneously, but untreated cases increase the risk of infertility and cancer. Treatment includes hormone therapy or surgical correction (orchiopexy), typically before age 1.
poisoning due to ethylene glycol|Ethylene glycol poisoning occurs from ingesting antifreeze and is life-threatening. Early symptoms include nausea, vomiting, and intoxication-like effects, progressing to kidney failure, seizures, and coma. Treatment involves activated charcoal, antidotes like fomepizole or ethanol, and possibly dialysis.
atrophic vaginitis|Atrophic vaginitis is the thinning and inflammation of vaginal walls due to decreased estrogen, often after menopause. Symptoms include vaginal dryness, itching, burning, and painful intercourse. Treatment includes topical estrogen therapy, moisturizers, and lubricants.
fracture of the hand|A fracture of the hand involves a break in one of the hand bones, often from trauma. Symptoms include pain, swelling, bruising, and difficulty moving fingers. Treatment includes splinting, casting, or surgery depending on the severity and location of the fracture.
cellulitis or abscess of mouth|Cellulitis or abscess of the mouth is a bacterial infection of soft tissues, often from dental issues. Symptoms include swelling, redness, pain, fever, and pus formation. Treatment involves antibiotics, drainage if necessary, and addressing the underlying dental cause.
eye alignment disorder|Eye alignment disorders like strabismus occur when the eyes don't move in sync. Symptoms include double vision, eye strain, or a noticeable eye turn. Treatment includes corrective glasses, vision therapy, or surgical realignment of eye muscles.
headache after lumbar puncture|Headache after a lumbar puncture is due to cerebrospinal fluid leakage, causing decreased brain cushioning. Symptoms include a headache worse when sitting/standing and relief when lying down. Treatment includes bed rest, hydration, caffeine, and sometimes a blood patch procedure.
pyloric stenosis|Pyloric stenosis is a condition in infants where the pylorus muscles thicken, blocking food from entering the intestine. Symptoms include projectile vomiting, weight loss, and dehydration. Treatment is surgical (pyloromyotomy) to relieve the blockage.
salivary gland disorder|Salivary gland disorders include infections, stones, or tumors affecting saliva production. Symptoms may include swelling, pain while eating, dry mouth, or pus discharge. Treatment depends on the cause—hydration, massage, antibiotics, or surgery may be needed.
osteochondrosis|Osteochondrosis is a condition affecting bone growth in children, often involving joints like the knees or hips. It causes joint pain, stiffness, and swelling. Treatment includes rest, physical therapy, pain relievers, and occasionally surgery for severe cases.
injury to the knee|Knee injuries can involve ligaments, cartilage, bones, or tendons. Symptoms include pain, swelling, instability, or difficulty walking. Treatment ranges from rest, ice, compression, and elevation (RICE) to physical therapy, bracing, or surgery depending on severity.
metabolic disorder|Metabolic disorders are a group of conditions that disrupt normal metabolism, often due to enzyme deficiencies or hormonal imbalances. Symptoms vary by condition but may include fatigue, growth issues, or organ damage. Treatment depends on the disorder and may include dietary management, supplements, or hormone therapy.
vaginitis|Vaginitis is inflammation of the vagina due to infection, irritants, or hormonal changes. Symptoms include itching, discharge, odor, and discomfort during urination or sex. Treatment varies by cause: antifungals for yeast, antibiotics for bacterial vaginosis, or estrogen creams for atrophic vaginitis.
sick sinus syndrome|Sick sinus syndrome is a group of heart rhythm disorders due to malfunction of the sinus node. Symptoms include fatigue, dizziness, palpitations, or fainting. Treatment often involves a pacemaker to regulate heart rhythm, especially in symptomatic cases.
tinnitus of unknown cause|Tinnitus is the perception of ringing or buzzing in the ears without an external source. When the cause is unknown, it may be linked to age, noise exposure, or other underlying issues. Treatment focuses on managing symptoms through sound therapy, hearing aids, or medications for associated anxiety.
glaucoma|Glaucoma is a group of eye conditions that damage the optic nerve, often due to increased intraocular pressure. Symptoms may include vision loss starting with peripheral vision and eye pain in acute cases. Treatment includes eye drops to reduce pressure, laser therapy, or surgery to prevent vision loss.
eating disorder|Eating disorders are mental health conditions involving unhealthy eating habits, such as anorexia nervosa, bulimia nervosa, and binge-eating disorder. Symptoms include extreme food restriction, purging, obsession with weight, and emotional distress. Treatment includes psychotherapy (especially CBT), nutritional counseling, and medical monitoring.
transient ischemic attack|A transient ischemic attack (TIA) is a temporary blockage of blood flow to the brain, often called a mini-stroke. Symptoms mimic a stroke—sudden weakness, speech difficulty, or vision changes—but resolve within 24 hours. Treatment includes antiplatelet medications, lifestyle changes, and managing risk factors to prevent a future stroke.
pyelonephritis|Pyelonephritis is a bacterial infection of the kidney. Symptoms include fever, flank pain, painful urination, and nausea. It is treated with antibiotics, hydration, and sometimes hospitalization in severe cases.
rotator cuff injury|Rotator cuff injuries involve damage to the shoulder muscles/tendons due to overuse or trauma. Symptoms include shoulder pain, weakness, and limited range of motion. Treatment includes rest, physical therapy, anti-inflammatory medications, corticosteroid injections, or surgery in severe cases.
chronic pain disorder|Chronic pain disorder involves long-lasting pain not explained by underlying tissue damage. Symptoms include persistent pain, fatigue, and emotional distress. Treatment includes physical therapy, medications (e.g., antidepressants or pain relievers), psychological counseling, and sometimes interdisciplinary pain management programs.
problem during pregnancy|Problems during pregnancy can include conditions like gestational diabetes, preeclampsia, or infections. Symptoms vary based on the issue—high blood pressure, swelling, or abnormal fetal growth. Treatment includes close monitoring, medication, dietary adjustments, or early delivery if necessary.
liver cancer|Liver cancer occurs when malignant cells form in the tissues of the liver. Symptoms include weight loss, abdominal pain, jaundice, and fatigue. Treatment may include surgical resection, liver transplant, chemotherapy, targeted therapy, or ablation.
atelectasis|Atelectasis is the partial or complete collapse of a lung or lobe, reducing oxygen exchange. Symptoms include shortness of breath, cough, and chest discomfort. Treatment includes breathing exercises, chest physiotherapy, addressing the underlying cause, and sometimes bronchoscopy.
injury to the hand|Hand injuries can involve fractures, dislocations, lacerations, or tendon damage. Symptoms include pain, swelling, bruising, and limited movement. Treatment depends on the type and severity, including rest, immobilization, physical therapy, or surgery.
choledocholithiasis|Choledocholithiasis is the presence of gallstones in the bile duct, which can block bile flow. Symptoms include jaundice, right upper abdominal pain, nausea, and fever. Treatment includes endoscopic removal (ERCP), surgery, and sometimes antibiotics if infection is present.
injury to the hip|Injury to the hip may involve fractures, dislocations, or soft tissue damage. Symptoms include hip pain, difficulty walking, swelling, and limited motion. Treatment ranges from rest and physiotherapy to surgical repair or hip replacement.
cirrhosis|Cirrhosis is the irreversible scarring of the liver due to long-term damage from alcohol use, hepatitis, or fatty liver disease. Symptoms include fatigue, jaundice, swelling, and easy bruising. Treatment includes managing the cause, avoiding alcohol, medications, and liver transplant in advanced cases.
thoracic aortic aneurysm|A thoracic aortic aneurysm is a bulging in the wall of the aorta in the chest. It may be asymptomatic or cause chest/back pain, coughing, or hoarseness. Treatment includes blood pressure control, regular imaging, and surgical repair for large or symptomatic aneurysms.
